Year,Month,Tariff,Quantity,UNIT
2005,December,Free of Charge,110.218892,GWh
2005,December,Direct Customer,159.146189,GWh
2006,January,Residential (< 150),568.671848,GWh
2006,January,Residential (> 150),1319.430925,GWh
2006,January,Small  General,906.779417,GWh
2006,January,Medium  General,1649.110101,GWh
2006,January,Large General,3957.91889,GWh
2006,January,Specific  Business,293.264698,GWh
2006,January,Government & Nonprofit,273.842657,GWh
2006,January,Agriculture Pumping,27.593315,GWh
2006,January,Temporary,45.552777,GWh
2006,January,Stand By Rate,14.061762,GWh
2006,January,Interruptible Rate,174.421089,GWh
2006,January,Free of Charge,115.92783429,GWh
2006,January,Direct Customer,170.76525,GWh
2006,February,Residential (< 150),561.775656,GWh
2006,February,Residential (> 150),1396.408643,GWh
2006,February,Small  General,946.484827,GWh
2006,February,Medium  General,1678.190892,GWh
2006,February,Large General,3937.893352,GWh
2006,February,Specific  Business,291.311698,GWh
2006,February,Government & Nonprofit,289.073835,GWh
2006,February,Agriculture Pumping,32.848124,GWh
2006,February,Temporary,49.190153,GWh
2006,February,Stand By Rate,26.310641,GWh
