Year,Month,LOAD,Quantity,UNIT
2004,November,GENERATION,10752.96055,GWh
2004,November,LOAD FACTOR,79.29,%
2004,December,PEAK,17361.9,MW
2004,December,GENERATION,9912.555496,GWh
2004,December,LOAD FACTOR,76.74,%
2005,January,PEAK,18261.2,MW
2005,January,GENERATION,10227.56335,GWh
2005,January,LOAD FACTOR,75.28,%
2005,February,PEAK,18940,MW
2005,February,GENERATION,10361.43613,GWh
2005,February,LOAD FACTOR,81.41,%
2005,March,PEAK,20221.5,MW
2005,March,GENERATION,11873.31735,GWh
2005,March,LOAD FACTOR,78.92,%
2005,April,PEAK,20537.5,MW
2005,April,GENERATION,11301.17653,GWh
2005,April,LOAD FACTOR,76.43,%
2005,May,PEAK,20536.8,MW
